"Biomass","MicB","MicP","Block","Tissue","Interaction"
5.83,"Prs","Abs","1","Aerial","Prs:Abs"
16.2,"Abs","Abs","1","Aerial","Abs:Abs"
34.92,"Prs","Prs","1","Aerial","Prs:Prs"
5.98,"Prs","Abs","1","Aerial","Prs:Abs"
31.18,"Abs","Prs","1","Aerial","Abs:Prs"
7.7,"Prs","Abs","1","Aerial","Prs:Abs"
5.21,"Prs","Prs","1","Aerial","Prs:Prs"
0.56,"Abs","Abs","1","Aerial","Abs:Abs"
59.99,"Abs","Prs","1","Aerial","Abs:Prs"
42.01,"Abs","Abs","1","Aerial","Abs:Abs"
21.49,"Prs","Prs","2","Aerial","Prs:Prs"
30.96,"Prs","Abs","2","Aerial","Prs:Abs"
5.61,"Abs","Prs","2","Aerial","Abs:Prs"
7.12,"Abs","Prs","2","Aerial","Abs:Prs"
9.83,"Prs","Abs","2","Aerial","Prs:Abs"
20.93,"Abs","Prs","2","Aerial","Abs:Prs"
12.47,"Abs","Abs","2","Aerial","Abs:Abs"
17.16,"Prs","Abs","2","Aerial","Prs:Abs"
3.43,"Prs","Prs","2","Aerial","Prs:Prs"
37.82,"Abs","Abs","2","Aerial","Abs:Abs"
7.08,"Abs","Prs","3","Aerial","Abs:Prs"
15.66,"Prs","Prs","3","Aerial","Prs:Prs"
22.6,"Abs","Abs","3","Aerial","Abs:Abs"
38.16,"Abs","Abs","3","Aerial","Abs:Abs"
32.99,"Prs","Prs","3","Aerial","Prs:Prs"
9.61,"Abs","Prs","3","Aerial","Abs:Prs"
3.24,"Abs","Prs","3","Aerial","Abs:Prs"
40.82,"Prs","Prs","3","Aerial","Prs:Prs"
4.06,"Prs","Abs","3","Aerial","Prs:Abs"
0.27,"Prs","Abs","3","Aerial","Prs:Abs"
4.09,"Abs","Abs","4","Aerial","Abs:Abs"
11.18,"Abs","Prs","4","Aerial","Abs:Prs"
20.71,"Abs","Prs","4","Aerial","Abs:Prs"
11.06,"Prs","Prs","4","Aerial","Prs:Prs"
24.14,"Prs","Abs","4","Aerial","Prs:Abs"
4.12,"Prs","Prs","4","Aerial","Prs:Prs"
17.88,"Prs","Abs","4","Aerial","Prs:Abs"
22.51,"Abs","Abs","4","Aerial","Abs:Abs"
12.69,"Prs","Prs","4","Aerial","Prs:Prs"
53.93,"Abs","Abs","4","Aerial","Abs:Abs"
0.11,"Prs","Abs","1","Roots","Prs:Abs"
3.59,"Abs","Abs","1","Roots","Abs:Abs"
7.11,"Prs","Prs","1","Roots","Prs:Prs"
0.21,"Prs","Abs","1","Roots","Prs:Abs"
10.1,"Abs","Prs","1","Roots","Abs:Prs"
6.45,"Prs","Abs","1","Roots","Prs:Abs"
2.48,"Prs","Prs","1","Roots","Prs:Prs"
6.57,"Abs","Abs","1","Roots","Abs:Abs"
14.32,"Abs","Prs","1","Roots","Abs:Prs"
6.4,"Abs","Abs","1","Roots","Abs:Abs"
5.69,"Prs","Prs","2","Roots","Prs:Prs"
6.47,"Prs","Abs","2","Roots","Prs:Abs"
0.52,"Abs","Prs","2","Roots","Abs:Prs"
1.76,"Abs","Prs","2","Roots","Abs:Prs"
0.25,"Prs","Abs","2","Roots","Prs:Abs"
4.55,"Abs","Prs","2","Roots","Abs:Prs"
2.47,"Abs","Abs","2","Roots","Abs:Abs"
0.83,"Prs","Abs","2","Roots","Prs:Abs"
1.1,"Prs","Prs","2","Roots","Prs:Prs"
6.15,"Abs","Abs","2","Roots","Abs:Abs"
0.78,"Abs","Prs","3","Roots","Abs:Prs"
2.09,"Prs","Prs","3","Roots","Prs:Prs"
4.86,"Abs","Abs","3","Roots","Abs:Abs"
7.01,"Abs","Abs","3","Roots","Abs:Abs"
7.75,"Prs","Prs","3","Roots","Prs:Prs"
1.82,"Abs","Prs","3","Roots","Abs:Prs"
3.01,"Abs","Prs","3","Roots","Abs:Prs"
5.09,"Prs","Prs","3","Roots","Prs:Prs"
0.43,"Prs","Abs","3","Roots","Prs:Abs"
2.25,"Prs","Abs","3","Roots","Prs:Abs"
1.3,"Abs","Abs","4","Roots","Abs:Abs"
2.03,"Abs","Prs","4","Roots","Abs:Prs"
2.99,"Abs","Prs","4","Roots","Abs:Prs"
0.06,"Prs","Prs","4","Roots","Prs:Prs"
4.48,"Prs","Abs","4","Roots","Prs:Abs"
0.42,"Prs","Prs","4","Roots","Prs:Prs"
0.41,"Prs","Abs","4","Roots","Prs:Abs"
5.66,"Abs","Abs","4","Roots","Abs:Abs"
6.49,"Prs","Prs","4","Roots","Prs:Prs"
12.25,"Abs","Abs","4","Roots","Abs:Abs"
