"TEP","MicB","MicP","Block","Tissue","Interaction"
1.671089444,"Prs","Abs","1","Aerial","Prs:Abs"
1.633206348,"Prs","Abs","1","Aerial","Prs:Abs"
2.118007724,"Abs","Abs","1","Aerial","Abs:Abs"
1.870451199,"Abs","Abs","1","Aerial","Abs:Abs"
2.005296167,"Prs","Prs","1","Aerial","Prs:Prs"
2.080808512,"Prs","Prs","1","Aerial","Prs:Prs"
1.870634155,"Prs","Abs","1","Aerial","Prs:Abs"
1.903035013,"Prs","Abs","1","Aerial","Prs:Abs"
2.640473861,"Abs","Prs","1","Aerial","Abs:Prs"
2.027702317,"Abs","Prs","1","Aerial","Abs:Prs"
1.855202803,"Prs","Abs","1","Aerial","Prs:Abs"
1.722086335,"Prs","Abs","1","Aerial","Prs:Abs"
2.126158497,"Prs","Prs","1","Aerial","Prs:Prs"
1.925620511,"Prs","Prs","1","Aerial","Prs:Prs"
2.042844662,"Abs","Abs","1","Aerial","Abs:Abs"
2.113582403,"Abs","Abs","1","Aerial","Abs:Abs"
2.544745817,"Abs","Prs","1","Aerial","Abs:Prs"
2.435133666,"Abs","Prs","1","Aerial","Abs:Prs"
2.13576403,"Abs","Abs","1","Aerial","Abs:Abs"
2.064716244,"Abs","Abs","1","Aerial","Abs:Abs"
2.211747983,"Prs","Prs","2","Aerial","Prs:Prs"
1.926921167,"Prs","Prs","2","Aerial","Prs:Prs"
2.420453142,"Prs","Abs","2","Aerial","Prs:Abs"
2.182694214,"Prs","Abs","2","Aerial","Prs:Abs"
2.239454326,"Abs","Prs","2","Aerial","Abs:Prs"
1.970466548,"Abs","Prs","2","Aerial","Abs:Prs"
1.89060629,"Abs","Prs","2","Aerial","Abs:Prs"
2.251420534,"Abs","Prs","2","Aerial","Abs:Prs"
2.128414214,"Prs","Abs","2","Aerial","Prs:Abs"
1.605463059,"Prs","Abs","2","Aerial","Prs:Abs"
2.011947353,"Abs","Prs","2","Aerial","Abs:Prs"
1.851079317,"Abs","Prs","2","Aerial","Abs:Prs"
2.189281039,"Abs","Abs","2","Aerial","Abs:Abs"
1.880814353,"Abs","Abs","2","Aerial","Abs:Abs"
1.568554982,"Prs","Abs","2","Aerial","Prs:Abs"
1.568554982,"Prs","Abs","2","Aerial","Prs:Abs"
2.543208082,"Prs","Prs","2","Aerial","Prs:Prs"
2.433383899,"Prs","Prs","2","Aerial","Prs:Prs"
2.423223172,"Abs","Abs","2","Aerial","Abs:Abs"
2.061036905,"Abs","Abs","2","Aerial","Abs:Abs"
1.841316008,"Abs","Prs","3","Aerial","Abs:Prs"
1.970227899,"Abs","Prs","3","Aerial","Abs:Prs"
2.753539756,"Prs","Prs","3","Aerial","Prs:Prs"
2.265358186,"Prs","Prs","3","Aerial","Prs:Prs"
1.817108073,"Abs","Abs","3","Aerial","Abs:Abs"
1.551667139,"Abs","Abs","3","Aerial","Abs:Abs"
1.96827396,"Abs","Abs","3","Aerial","Abs:Abs"
1.796661221,"Abs","Abs","3","Aerial","Abs:Abs"
2.053387227,"Prs","Prs","3","Aerial","Prs:Prs"
1.817929274,"Prs","Prs","3","Aerial","Prs:Prs"
1.678114904,"Abs","Prs","3","Aerial","Abs:Prs"
1.63322331,"Abs","Prs","3","Aerial","Abs:Prs"
2.114915808,"Abs","Prs","3","Aerial","Abs:Prs"
2.076424356,"Abs","Prs","3","Aerial","Abs:Prs"
1.916566124,"Prs","Prs","3","Aerial","Prs:Prs"
1.718303178,"Prs","Prs","3","Aerial","Prs:Prs"
1.917941388,"Prs","Abs","3","Aerial","Prs:Abs"
1.84036273,"Prs","Abs","3","Aerial","Prs:Abs"
1.831981396,"Prs","Abs","3","Aerial","Prs:Abs"
1.889296395,"Prs","Abs","3","Aerial","Prs:Abs"
2.021805398,"Abs","Abs","4","Aerial","Abs:Abs"
1.837235654,"Abs","Abs","4","Aerial","Abs:Abs"
2.027553034,"Abs","Prs","4","Aerial","Abs:Prs"
1.628061181,"Abs","Prs","4","Aerial","Abs:Prs"
2.46570539,"Abs","Prs","4","Aerial","Abs:Prs"
2.729885487,"Abs","Prs","4","Aerial","Abs:Prs"
1.817488251,"Prs","Prs","4","Aerial","Prs:Prs"
2.031180532,"Prs","Prs","4","Aerial","Prs:Prs"
2.460812923,"Prs","Abs","4","Aerial","Prs:Abs"
2.670828513,"Prs","Abs","4","Aerial","Prs:Abs"
1.776360438,"Prs","Prs","4","Aerial","Prs:Prs"
1.724433448,"Prs","Prs","4","Aerial","Prs:Prs"
2.456182214,"Prs","Abs","4","Aerial","Prs:Abs"
2.527343936,"Prs","Abs","4","Aerial","Prs:Abs"
2.367278046,"Abs","Abs","4","Aerial","Abs:Abs"
2.114546299,"Abs","Abs","4","Aerial","Abs:Abs"
2.040684478,"Prs","Prs","4","Aerial","Prs:Prs"
1.885533988,"Prs","Prs","4","Aerial","Prs:Prs"
2.157784714,"Abs","Abs","4","Aerial","Abs:Abs"
2.074465255,"Abs","Abs","4","Aerial","Abs:Abs"
0.707961804,"Prs","Abs","1","Roots","Prs:Abs"
