"MicB","MicP","TEP","Block","Tissue","Interaction"
"Prs","Abs",1.652147896,"1","Aerial","Prs:Abs"
"Prs","Abs",0.723954368,"1","Roots","Prs:Abs"
"Abs","Abs",1.994229462,"1","Aerial","Abs:Abs"
"Abs","Abs",0.507846546,"1","Roots","Abs:Abs"
"Prs","Prs",2.04305234,"1","Aerial","Prs:Prs"
"Prs","Prs",0.779910358,"1","Roots","Prs:Prs"
"Prs","Abs",1.886834584,"1","Aerial","Prs:Abs"
"Prs","Abs",0.537706211,"1","Roots","Prs:Abs"
"Abs","Prs",2.334088089,"1","Aerial","Abs:Prs"
"Abs","Prs",0.678852017,"1","Roots","Abs:Prs"
"Prs","Abs",1.788644569,"1","Aerial","Prs:Abs"
"Prs","Abs",0.572369486,"1","Roots","Prs:Abs"
"Prs","Prs",2.025889504,"1","Aerial","Prs:Prs"
"Prs","Prs",0.666545968,"1","Roots","Prs:Prs"
"Abs","Abs",2.078213532,"1","Aerial","Abs:Abs"
"Abs","Abs",0.525709624,"1","Roots","Abs:Abs"
"Abs","Prs",2.489939741,"1","Aerial","Abs:Prs"
"Abs","Prs",0.577776207,"1","Roots","Abs:Prs"
"Abs","Abs",2.100240137,"1","Aerial","Abs:Abs"
"Abs","Abs",0.471687481,"1","Roots","Abs:Abs"
"Prs","Prs",2.069334575,"2","Aerial","Prs:Prs"
"Prs","Prs",0.609983209,"2","Roots","Prs:Prs"
"Prs","Abs",2.301573678,"2","Aerial","Prs:Abs"
"Prs","Abs",0.575113271,"2","Roots","Prs:Abs"
"Abs","Prs",2.104960437,"2","Aerial","Abs:Prs"
"Abs","Prs",0.654112979,"2","Roots","Abs:Prs"
"Abs","Prs",2.071013412,"2","Aerial","Abs:Prs"
"Abs","Prs",0.694115045,"2","Roots","Abs:Prs"
"Prs","Abs",1.866938637,"2","Aerial","Prs:Abs"
"Prs","Abs",0.574774915,"2","Roots","Prs:Abs"
"Abs","Prs",1.931513335,"2","Aerial","Abs:Prs"
"Abs","Prs",0.661748639,"2","Roots","Abs:Prs"
"Abs","Abs",2.035047696,"2","Aerial","Abs:Abs"
"Abs","Abs",0.560804647,"2","Roots","Abs:Abs"
"Prs","Abs",1.568554982,"2","Aerial","Prs:Abs"
"Prs","Abs",0.529684195,"2","Roots","Prs:Abs"
"Prs","Prs",2.488295991,"2","Aerial","Prs:Prs"
"Prs","Prs",0.666672487,"2","Roots","Prs:Prs"
"Abs","Abs",2.242130039,"2","Aerial","Abs:Abs"
"Abs","Abs",0.53876876,"2","Roots","Abs:Abs"
"Abs","Prs",1.905771953,"3","Aerial","Abs:Prs"
"Abs","Prs",0.589049543,"3","Roots","Abs:Prs"
"Prs","Prs",2.509448971,"3","Aerial","Prs:Prs"
"Prs","Prs",0.85373034,"3","Roots","Prs:Prs"
"Abs","Abs",1.684387606,"3","Aerial","Abs:Abs"
"Abs","Abs",0.498667806,"3","Roots","Abs:Abs"
"Abs","Abs",1.882467591,"3","Aerial","Abs:Abs"
"Abs","Abs",0.474878032,"3","Roots","Abs:Abs"
"Prs","Prs",1.93565825,"3","Aerial","Prs:Prs"
"Prs","Prs",0.775300387,"3","Roots","Prs:Prs"
"Abs","Prs",1.655669107,"3","Aerial","Abs:Prs"
"Abs","Prs",0.890216171,"3","Roots","Abs:Prs"
"Abs","Prs",2.095670082,"3","Aerial","Abs:Prs"
"Abs","Prs",0.743080664,"3","Roots","Abs:Prs"
"Prs","Prs",1.817434651,"3","Aerial","Prs:Prs"
"Prs","Prs",0.617950162,"3","Roots","Prs:Prs"
"Prs","Abs",1.879152059,"3","Aerial","Prs:Abs"
"Prs","Abs",0.601087379,"3","Roots","Prs:Abs"
"Prs","Abs",1.860638895,"3","Aerial","Prs:Abs"
"Prs","Abs",0.597398263,"3","Roots","Prs:Abs"
"Abs","Abs",1.929520526,"4","Aerial","Abs:Abs"
"Abs","Abs",0.49095228,"4","Roots","Abs:Abs"
"Abs","Prs",1.827807107,"4","Aerial","Abs:Prs"
"Abs","Prs",0.624865554,"4","Roots","Abs:Prs"
"Abs","Prs",2.597795438,"4","Aerial","Abs:Prs"
"Abs","Prs",0.719109357,"4","Roots","Abs:Prs"
"Prs","Prs",1.924334392,"4","Aerial","Prs:Prs"
"Prs","Prs",0.786127678,"4","Roots","Prs:Prs"
"Prs","Abs",2.565820718,"4","Aerial","Prs:Abs"
"Prs","Abs",0.737936301,"4","Roots","Prs:Abs"
"Prs","Prs",1.750396943,"4","Aerial","Prs:Prs"
"Prs","Prs",0.742740799,"4","Roots","Prs:Prs"
"Prs","Abs",2.491763075,"4","Aerial","Prs:Abs"
"Prs","Abs",0.677593123,"4","Roots","Prs:Abs"
"Abs","Abs",2.240912172,"4","Aerial","Abs:Abs"
"Abs","Abs",0.57177358,"4","Roots","Abs:Abs"
"Prs","Prs",1.963109233,"4","Aerial","Prs:Prs"
"Prs","Prs",0.87056942,"4","Roots","Prs:Prs"
"Abs","Abs",2.116124984,"4","Aerial","Abs:Abs"
"Abs","Abs",0.584482219,"4","Roots","Abs:Abs"
