"Biomass","MicB","MicP","Block","Tissue","Interaction"
37.09,"Prs","Abs","1","Aerial","Prs:Abs"
42.92,"Prs","Abs","1","Aerial","Prs:Abs"
76.11,"Abs","Abs","1","Aerial","Abs:Abs"
59.91,"Abs","Abs","1","Aerial","Abs:Abs"
67.46,"Prs","Prs","1","Aerial","Prs:Prs"
32.54,"Prs","Prs","1","Aerial","Prs:Prs"
63.53,"Prs","Abs","1","Aerial","Prs:Abs"
57.55,"Prs","Abs","1","Aerial","Prs:Abs"
85.95,"Abs","Prs","1","Aerial","Abs:Prs"
54.77,"Abs","Prs","1","Aerial","Abs:Prs"
57.6,"Prs","Abs","1","Aerial","Prs:Abs"
65.3,"Prs","Abs","1","Aerial","Prs:Abs"
48.23,"Prs","Prs","1","Aerial","Prs:Prs"
53.44,"Prs","Prs","1","Aerial","Prs:Prs"
70.94,"Abs","Abs","1","Aerial","Abs:Abs"
70.38,"Abs","Abs","1","Aerial","Abs:Abs"
32.36,"Abs","Prs","1","Aerial","Abs:Prs"
92.35,"Abs","Prs","1","Aerial","Abs:Prs"
83.38,"Abs","Abs","1","Aerial","Abs:Abs"
41.37,"Abs","Abs","1","Aerial","Abs:Abs"
68.19,"Prs","Prs","2","Aerial","Prs:Prs"
46.7,"Prs","Prs","2","Aerial","Prs:Prs"
34.19,"Prs","Abs","2","Aerial","Prs:Abs"
65.15,"Prs","Abs","2","Aerial","Prs:Abs"
59.08,"Abs","Prs","2","Aerial","Abs:Prs"
64.69,"Abs","Prs","2","Aerial","Abs:Prs"
58.81,"Abs","Prs","2","Aerial","Abs:Prs"
51.69,"Abs","Prs","2","Aerial","Abs:Prs"
58.81,"Prs","Abs","2","Aerial","Prs:Abs"
68.64,"Prs","Abs","2","Aerial","Prs:Abs"
46.97,"Abs","Prs","2","Aerial","Abs:Prs"
67.9,"Abs","Prs","2","Aerial","Abs:Prs"
67.32,"Abs","Abs","2","Aerial","Abs:Abs"
54.85,"Abs","Abs","2","Aerial","Abs:Abs"
47.38,"Prs","Abs","2","Aerial","Prs:Abs"
64.54,"Prs","Abs","2","Aerial","Prs:Abs"
39.99,"Prs","Prs","2","Aerial","Prs:Prs"
43.42,"Prs","Prs","2","Aerial","Prs:Prs"
85.57,"Abs","Abs","2","Aerial","Abs:Abs"
47.75,"Abs","Abs","2","Aerial","Abs:Abs"
54.98,"Abs","Prs","3","Aerial","Abs:Prs"
47.9,"Abs","Prs","3","Aerial","Abs:Prs"
48.73,"Prs","Prs","3","Aerial","Prs:Prs"
33.07,"Prs","Prs","3","Aerial","Prs:Prs"
69.53,"Abs","Abs","3","Aerial","Abs:Abs"
