"MicB","MicP","Biomass","Block","Tissue","Interaction"
"Prs","Prs",2.5,"1","Aerial","Prs:Prs"
"Prs","Abs",10.4,"1","Aerial","Prs:Abs"
"Abs","Abs",5.1,"1","Aerial","Abs:Abs"
"Abs","Abs",43.9,"1","Aerial","Abs:Abs"
"Abs","Prs",10.5,"1","Aerial","Abs:Prs"
"Prs","Abs",13.1,"1","Aerial","Prs:Abs"
"Prs","Prs",26.7,"1","Aerial","Prs:Prs"
"Abs","Abs",1.8,"1","Aerial","Abs:Abs"
"Prs","Prs",10,"1","Aerial","Prs:Prs"
"Abs","Prs",28.5,"1","Aerial","Abs:Prs"
"Abs","Abs",30.5,"2","Aerial","Abs:Abs"
"Abs","Abs",58.5,"2","Aerial","Abs:Abs"
"Abs","Prs",15.9,"2","Aerial","Abs:Prs"
"Prs","Abs",4.6,"2","Aerial","Prs:Abs"
"Prs","Abs",1.6,"2","Aerial","Prs:Abs"
"Abs","Prs",30.7,"2","Aerial","Abs:Prs"
"Abs","Abs",10.6,"2","Aerial","Abs:Abs"
"Prs","Prs",42.3,"2","Aerial","Prs:Prs"
"Prs","Abs",11.1,"2","Aerial","Prs:Abs"
"Prs","Prs",18,"2","Aerial","Prs:Prs"
"Abs","Abs",9.9,"3","Aerial","Abs:Abs"
"Prs","Prs",31.5,"3","Aerial","Prs:Prs"
"Prs","Abs",24.6,"3","Aerial","Prs:Abs"
"Prs","Abs",6.5,"3","Aerial","Prs:Abs"
"Prs","Prs",2.8,"3","Aerial","Prs:Prs"
"Abs","Prs",8.2,"3","Aerial","Abs:Prs"
"Prs","Abs",9.6,"3","Aerial","Prs:Abs"
"Abs","Prs",31,"3","Aerial","Abs:Prs"
"Abs","Prs",10.5,"3","Aerial","Abs:Prs"
"Abs","Abs",13.8,"3","Aerial","Abs:Abs"
"Prs","Prs",15.8,"4","Aerial","Prs:Prs"
"Prs","Abs",35.8,"4","Aerial","Prs:Abs"
"Abs","Abs",0.2,"4","Aerial","Abs:Abs"
"Abs","Prs",36,"4","Aerial","Abs:Prs"
"Prs","Prs",18.4,"4","Aerial","Prs:Prs"
"Abs","Abs",16,"4","Aerial","Abs:Abs"
"Abs","Prs",44.3,"4","Aerial","Abs:Prs"
"Prs","Prs",9.5,"4","Aerial","Prs:Prs"
"Abs","Prs",2,"4","Aerial","Abs:Prs"
"Prs","Abs",10.7,"4","Aerial","Prs:Abs"
"Prs","Prs",1.1,"1","Roots","Prs:Prs"
"Prs","Abs",4.1,"1","Roots","Prs:Abs"
"Abs","Abs",2,"1","Roots","Abs:Abs"
"Abs","Abs",17.4,"1","Roots","Abs:Abs"
"Abs","Prs",6,"1","Roots","Abs:Prs"
"Prs","Abs",4.1,"1","Roots","Prs:Abs"
"Prs","Prs",12.7,"1","Roots","Prs:Prs"
"Abs","Abs",1.5,"1","Roots","Abs:Abs"
"Prs","Prs",1.9,"1","Roots","Prs:Prs"
"Abs","Prs",9.3,"1","Roots","Abs:Prs"
"Abs","Abs",8.1,"2","Roots","Abs:Abs"
"Abs","Abs",13.8,"2","Roots","Abs:Abs"
"Abs","Prs",2.3,"2","Roots","Abs:Prs"
"Prs","Abs",1.8,"2","Roots","Prs:Abs"
"Prs","Abs",0.2,"2","Roots","Prs:Abs"
"Abs","Prs",9.5,"2","Roots","Abs:Prs"
"Abs","Abs",0.2,"2","Roots","Abs:Abs"
"Prs","Prs",8.3,"2","Roots","Prs:Prs"
"Prs","Abs",3.7,"2","Roots","Prs:Abs"
"Prs","Prs",4.8,"2","Roots","Prs:Prs"
"Abs","Abs",3.6,"3","Roots","Abs:Abs"
"Prs","Prs",8.2,"3","Roots","Prs:Prs"
"Prs","Abs",4.9,"3","Roots","Prs:Abs"
"Prs","Abs",1,"3","Roots","Prs:Abs"
"Prs","Prs",2.6,"3","Roots","Prs:Prs"
"Abs","Prs",4.1,"3","Roots","Abs:Prs"
"Prs","Abs",4.4,"3","Roots","Prs:Abs"
"Abs","Prs",9.6,"3","Roots","Abs:Prs"
"Abs","Prs",1.8,"3","Roots","Abs:Prs"
"Abs","Abs",6.1,"3","Roots","Abs:Abs"
"Prs","Prs",4.8,"4","Roots","Prs:Prs"
"Prs","Abs",8.1,"4","Roots","Prs:Abs"
"Abs","Abs",0.2,"4","Roots","Abs:Abs"
"Abs","Prs",12.3,"4","Roots","Abs:Prs"
"Prs","Prs",5.3,"4","Roots","Prs:Prs"
"Abs","Abs",7.7,"4","Roots","Abs:Abs"
"Abs","Prs",8.6,"4","Roots","Abs:Prs"
"Prs","Prs",1.5,"4","Roots","Prs:Prs"
"Abs","Prs",2.2,"4","Roots","Abs:Prs"
"Prs","Abs",3.7,"4","Roots","Prs:Abs"
