"MicB","MicP","Biomass","Block","Tissue","Interaction"
"Prs","Prs",28.05,"1","Aerial","Prs:Prs"
"Prs","Abs",25.1,"1","Aerial","Prs:Abs"
"Abs","Abs",41.35,"1","Aerial","Abs:Abs"
"Abs","Abs",23.85,"1","Aerial","Abs:Abs"
"Abs","Prs",25.75,"1","Aerial","Abs:Prs"
"Prs","Abs",26.05,"1","Aerial","Prs:Abs"
"Prs","Prs",23.05,"1","Aerial","Prs:Prs"
"Abs","Abs",35.2,"1","Aerial","Abs:Abs"
"Prs","Prs",26.2,"1","Aerial","Prs:Prs"
"Abs","Prs",26.85,"1","Aerial","Abs:Prs"
"Abs","Abs",36.85,"2","Aerial","Abs:Abs"
"Abs","Abs",34.25,"2","Aerial","Abs:Abs"
"Abs","Prs",34.25,"2","Aerial","Abs:Prs"
"Prs","Abs",39.5,"2","Aerial","Prs:Abs"
"Prs","Abs",36.2,"2","Aerial","Prs:Abs"
"Abs","Prs",31.55,"2","Aerial","Abs:Prs"
"Abs","Abs",34.5,"2","Aerial","Abs:Abs"
"Prs","Prs",34.05,"2","Aerial","Prs:Prs"
"Prs","Abs",32.65,"2","Aerial","Prs:Abs"
"Prs","Prs",29.7,"2","Aerial","Prs:Prs"
"Abs","Abs",27.95,"3","Aerial","Abs:Abs"
"Prs","Prs",32.85,"3","Aerial","Prs:Prs"
"Prs","Abs",22.7,"3","Aerial","Prs:Abs"
"Prs","Abs",34.65,"3","Aerial","Prs:Abs"
"Prs","Prs",20.6,"3","Aerial","Prs:Prs"
"Abs","Prs",33,"3","Aerial","Abs:Prs"
"Prs","Abs",33.3,"3","Aerial","Prs:Abs"
"Abs","Prs",29.1,"3","Aerial","Abs:Prs"
"Abs","Prs",54.35,"3","Aerial","Abs:Prs"
"Abs","Abs",18.6,"3","Aerial","Abs:Abs"
"Prs","Prs",26.9,"4","Aerial","Prs:Prs"
"Prs","Abs",32,"4","Aerial","Prs:Abs"
"Abs","Abs",14,"4","Aerial","Abs:Abs"
"Abs","Prs",30.2,"4","Aerial","Abs:Prs"
"Prs","Prs",21,"4","Aerial","Prs:Prs"
"Abs","Abs",19.6,"4","Aerial","Abs:Abs"
"Abs","Prs",45.35,"4","Aerial","Abs:Prs"
"Prs","Prs",36.45,"4","Aerial","Prs:Prs"
"Abs","Prs",27.2,"4","Aerial","Abs:Prs"
"Prs","Abs",29.45,"4","Aerial","Prs:Abs"
"Prs","Prs",9.95,"1","Roots","Prs:Prs"
"Prs","Abs",10.65,"1","Roots","Prs:Abs"
"Abs","Abs",10.8,"1","Roots","Abs:Abs"
"Abs","Abs",9.6,"1","Roots","Abs:Abs"
"Abs","Prs",10.6,"1","Roots","Abs:Prs"
"Prs","Abs",9.95,"1","Roots","Prs:Abs"
"Prs","Prs",9.45,"1","Roots","Prs:Prs"
"Abs","Abs",11.35,"1","Roots","Abs:Abs"
"Prs","Prs",8.35,"1","Roots","Prs:Prs"
"Abs","Prs",9.35,"1","Roots","Abs:Prs"
"Abs","Abs",9.05,"2","Roots","Abs:Abs"
"Abs","Abs",8.4,"2","Roots","Abs:Abs"
"Abs","Prs",8.85,"2","Roots","Abs:Prs"
"Prs","Abs",7.7,"2","Roots","Prs:Abs"
"Prs","Abs",8.8,"2","Roots","Prs:Abs"
"Abs","Prs",8.45,"2","Roots","Abs:Prs"
"Abs","Abs",7.9,"2","Roots","Abs:Abs"
"Prs","Prs",6.85,"2","Roots","Prs:Prs"
"Prs","Abs",8.65,"2","Roots","Prs:Abs"
"Prs","Prs",9.4,"2","Roots","Prs:Prs"
"Abs","Abs",9.6,"3","Roots","Abs:Abs"
"Prs","Prs",8,"3","Roots","Prs:Prs"
"Prs","Abs",9.55,"3","Roots","Prs:Abs"
"Prs","Abs",8.3,"3","Roots","Prs:Abs"
"Prs","Prs",8.2,"3","Roots","Prs:Prs"
"Abs","Prs",9.45,"3","Roots","Abs:Prs"
"Prs","Abs",9.6,"3","Roots","Prs:Abs"
"Abs","Prs",7.8,"3","Roots","Abs:Prs"
"Abs","Prs",8.3,"3","Roots","Abs:Prs"
"Abs","Abs",9.05,"3","Roots","Abs:Abs"
"Prs","Prs",8.5,"4","Roots","Prs:Prs"
"Prs","Abs",8.25,"4","Roots","Prs:Abs"
"Abs","Abs",4.3,"4","Roots","Abs:Abs"
"Abs","Prs",9.15,"4","Roots","Abs:Prs"
"Prs","Prs",7.55,"4","Roots","Prs:Prs"
"Abs","Abs",8.95,"4","Roots","Abs:Abs"
"Abs","Prs",11.1,"4","Roots","Abs:Prs"
"Prs","Prs",8.55,"4","Roots","Prs:Prs"
"Abs","Prs",7.5,"4","Roots","Abs:Prs"
"Prs","Abs",7.55,"4","Roots","Prs:Abs"
