"MicB","MicP","Biomass","Block","Tissue","Interaction"
"Prs","Prs",29.3,"1","Aerial","Prs:Prs"
"Prs","Prs",26.8,"1","Aerial","Prs:Prs"
"Prs","Abs",19.9,"1","Aerial","Prs:Abs"
"Prs","Abs",30.3,"1","Aerial","Prs:Abs"
"Abs","Abs",38.8,"1","Aerial","Abs:Abs"
"Abs","Abs",43.9,"1","Aerial","Abs:Abs"
"Abs","Abs",1.9,"1","Aerial","Abs:Abs"
"Abs","Abs",45.8,"1","Aerial","Abs:Abs"
"Abs","Prs",20.5,"1","Aerial","Abs:Prs"
"Abs","Prs",31,"1","Aerial","Abs:Prs"
"Prs","Abs",32.6,"1","Aerial","Prs:Abs"
"Prs","Abs",19.5,"1","Aerial","Prs:Abs"
"Prs","Prs",9.7,"1","Aerial","Prs:Prs"
"Prs","Prs",36.4,"1","Aerial","Prs:Prs"
"Abs","Abs",34.3,"1","Aerial","Abs:Abs"
"Abs","Abs",36.1,"1","Aerial","Abs:Abs"
"Prs","Prs",31.2,"1","Aerial","Prs:Prs"
"Prs","Prs",21.2,"1","Aerial","Prs:Prs"
"Abs","Prs",41.1,"1","Aerial","Abs:Prs"
"Abs","Prs",12.6,"1","Aerial","Abs:Prs"
"Abs","Abs",21.6,"2","Aerial","Abs:Abs"
"Abs","Abs",52.1,"2","Aerial","Abs:Abs"
"Abs","Abs",5,"2","Aerial","Abs:Abs"
"Abs","Abs",63.5,"2","Aerial","Abs:Abs"
"Abs","Prs",26.3,"2","Aerial","Abs:Prs"
"Abs","Prs",42.2,"2","Aerial","Abs:Prs"
"Prs","Abs",41.8,"2","Aerial","Prs:Abs"
"Prs","Abs",37.2,"2","Aerial","Prs:Abs"
"Prs","Abs",37,"2","Aerial","Prs:Abs"
"Prs","Abs",35.4,"2","Aerial","Prs:Abs"
"Abs","Prs",46.9,"2","Aerial","Abs:Prs"
"Abs","Prs",16.2,"2","Aerial","Abs:Prs"
"Abs","Abs",29.2,"2","Aerial","Abs:Abs"
"Abs","Abs",39.8,"2","Aerial","Abs:Abs"
"Prs","Prs",12.9,"2","Aerial","Prs:Prs"
"Prs","Prs",55.2,"2","Aerial","Prs:Prs"
"Prs","Abs",27.1,"2","Aerial","Prs:Abs"
"Prs","Abs",38.2,"2","Aerial","Prs:Abs"
"Prs","Prs",38.7,"2","Aerial","Prs:Prs"
"Prs","Prs",20.7,"2","Aerial","Prs:Prs"
"Abs","Abs",32.9,"3","Aerial","Abs:Abs"
"Abs","Abs",23,"3","Aerial","Abs:Abs"
"Prs","Prs",48.6,"3","Aerial","Prs:Prs"
"Prs","Prs",17.1,"3","Aerial","Prs:Prs"
"Prs","Abs",35,"3","Aerial","Prs:Abs"
"Prs","Abs",10.4,"3","Aerial","Prs:Abs"
"Prs","Abs",31.4,"3","Aerial","Prs:Abs"
"Prs","Abs",37.9,"3","Aerial","Prs:Abs"
"Prs","Prs",19.2,"3","Aerial","Prs:Prs"
"Prs","Prs",22,"3","Aerial","Prs:Prs"
"Abs","Prs",28.9,"3","Aerial","Abs:Prs"
"Abs","Prs",37.1,"3","Aerial","Abs:Prs"
"Prs","Abs",28.5,"3","Aerial","Prs:Abs"
"Prs","Abs",38.1,"3","Aerial","Prs:Abs"
"Abs","Prs",13.6,"3","Aerial","Abs:Prs"
"Abs","Prs",44.6,"3","Aerial","Abs:Prs"
"Abs","Prs",59.6,"3","Aerial","Abs:Prs"
"Abs","Prs",49.1,"3","Aerial","Abs:Prs"
"Abs","Abs",11.7,"3","Aerial","Abs:Abs"
"Abs","Abs",25.5,"3","Aerial","Abs:Abs"
"Prs","Prs",34.8,"4","Aerial","Prs:Prs"
"Prs","Prs",19,"4","Aerial","Prs:Prs"
"Prs","Abs",49.9,"4","Aerial","Prs:Abs"
"Prs","Abs",14.1,"4","Aerial","Prs:Abs"
"Abs","Abs",14.1,"4","Aerial","Abs:Abs"
"Abs","Abs",13.9,"4","Aerial","Abs:Abs"
"Abs","Prs",12.2,"4","Aerial","Abs:Prs"
"Abs","Prs",48.2,"4","Aerial","Abs:Prs"
"Prs","Prs",30.2,"4","Aerial","Prs:Prs"
"Prs","Prs",11.8,"4","Aerial","Prs:Prs"
"Abs","Abs",11.6,"4","Aerial","Abs:Abs"
"Abs","Abs",27.6,"4","Aerial","Abs:Abs"
"Abs","Prs",67.5,"4","Aerial","Abs:Prs"
"Abs","Prs",23.2,"4","Aerial","Abs:Prs"
"Prs","Prs",31.7,"4","Aerial","Prs:Prs"
"Prs","Prs",41.2,"4","Aerial","Prs:Prs"
"Abs","Prs",26.2,"4","Aerial","Abs:Prs"
"Abs","Prs",28.2,"4","Aerial","Abs:Prs"
"Prs","Abs",24.1,"4","Aerial","Prs:Abs"
"Prs","Abs",34.8,"4","Aerial","Prs:Abs"
"Prs","Prs",10.5,"1","Roots","Prs:Prs"
"Prs","Prs",9.4,"1","Roots","Prs:Prs"
"Prs","Abs",8.6,"1","Roots","Prs:Abs"
"Prs","Abs",12.7,"1","Roots","Prs:Abs"
"Abs","Abs",9.8,"1","Roots","Abs:Abs"
"Abs","Abs",11.8,"1","Roots","Abs:Abs"
"Abs","Abs",0.9,"1","Roots","Abs:Abs"
"Abs","Abs",18.3,"1","Roots","Abs:Abs"
"Abs","Prs",7.6,"1","Roots","Abs:Prs"
"Abs","Prs",13.6,"1","Roots","Abs:Prs"
"Prs","Abs",12,"1","Roots","Prs:Abs"
"Prs","Abs",7.9,"1","Roots","Prs:Abs"
"Prs","Prs",3.1,"1","Roots","Prs:Prs"
"Prs","Prs",15.8,"1","Roots","Prs:Prs"
"Abs","Abs",10.6,"1","Roots","Abs:Abs"
"Abs","Abs",12.1,"1","Roots","Abs:Abs"
"Prs","Prs",9.3,"1","Roots","Prs:Prs"
"Prs","Prs",7.4,"1","Roots","Prs:Prs"
"Abs","Prs",14,"1","Roots","Abs:Prs"
"Abs","Prs",4.7,"1","Roots","Abs:Prs"
"Abs","Abs",5,"2","Roots","Abs:Abs"
"Abs","Abs",13.1,"2","Roots","Abs:Abs"
"Abs","Abs",1.5,"2","Roots","Abs:Abs"
"Abs","Abs",15.3,"2","Roots","Abs:Abs"
"Abs","Prs",7.7,"2","Roots","Abs:Prs"
"Abs","Prs",10,"2","Roots","Abs:Prs"
"Prs","Abs",8.6,"2","Roots","Prs:Abs"
"Prs","Abs",6.8,"2","Roots","Prs:Abs"
"Prs","Abs",8.7,"2","Roots","Prs:Abs"
"Prs","Abs",8.9,"2","Roots","Prs:Abs"
"Abs","Prs",13.2,"2","Roots","Abs:Prs"
"Abs","Prs",3.7,"2","Roots","Abs:Prs"
"Abs","Abs",7.8,"2","Roots","Abs:Abs"
"Abs","Abs",8,"2","Roots","Abs:Abs"
"Prs","Prs",2.7,"2","Roots","Prs:Prs"
"Prs","Prs",11,"2","Roots","Prs:Prs"
"Prs","Abs",6.8,"2","Roots","Prs:Abs"
"Prs","Abs",10.5,"2","Roots","Prs:Abs"
"Prs","Prs",11.8,"2","Roots","Prs:Prs"
"Prs","Prs",7,"2","Roots","Prs:Prs"
"Abs","Abs",11.4,"3","Roots","Abs:Abs"
"Abs","Abs",7.8,"3","Roots","Abs:Abs"
"Prs","Prs",12.1,"3","Roots","Prs:Prs"
"Prs","Prs",3.9,"3","Roots","Prs:Prs"
"Prs","Abs",12,"3","Roots","Prs:Abs"
"Prs","Abs",7.1,"3","Roots","Prs:Abs"
